,,,,,,,,,,,"TP, µg/l",,,"SRP, µg/l",,,"TN, mg/l",,"CLA, µg/l",,"Secchi, m","Chloride, mg/l","TSS, mg/l",,"VSS, mg/l",,

Site,Site_ID,Date,Time,Depth,Sonde Depth,"Temp, oC","DO, mg/l","DO, Sat %","SpCond, µS/cm",pH,TP Value,"TP, mg/l",TP RL,SRP Value ug/l,"SRP, mg/l",SRP RL,TN Value mg/l,TN RL,CLA Value ug/l,CLA RL,"Secchi Value, m","Chloride value, mg/l","TSS Value, mg/l",TSS RL,"VSS Value, mg/l",VSS RL,Comments


Spring                                                                                                                                                                                                                                                            ,SP_3R,5/15/2012,10:00,5,5.054,15.22,6.79,67.7,479,8.33,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/15/2012,10:00,6,6.022,14.27,4.74,46.4,484,8.12,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/15/2012,10:00,7,7.008,13.51,1.84,17.7,493,7.93,109.1,0.1091,,60.74,0.06074,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/15/2012,10:00,8,8.08,12.22,0.93,8.7,504,7.78,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/15/2012,10:00,9,9.089,11.52,0.59,5.4,508,7.7,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/15/2012,10:00,10,10.036,11.45,0.48,4.4,508,7.67,218.1,0.2181,,184.88,0.18488,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/15/2012,10:00,10.61799908,10.618,11.41,0.4,3.7,509,7.65,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,0,0.398,19.79,10.02,109.8,465,8.49,81.6,0.0816,,11.38,0.01138,,1.86,,56.5,,1.55,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,1,1.038,19.22,9.84,106.6,466,8.5,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,2,2.008,18.98,8.78,94.8,467,8.41,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,3,3.02,18.74,8.16,87.6,470,8.31,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,4,4.05,18.68,7.97,85.5,470,8.26,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,5,5.022,18.63,7.76,83.2,471,8.23,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,6,6.039,18.47,7.2,76.9,474,8.17,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,7,7.021,18.11,6.76,71.6,474,8.11,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,8,8.097,15.14,0.92,9.2,511,7.47,191.2,0.1912,,154.55,0.15455,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,9,9.068,12.77,0.59,5.6,530,7.33,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,10,10.016,12.13,0.47,4.4,536,7.18,403.1,0.4031,,367.88,0.36788,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/30/2012,10:00,10.74399948,10.744,12.05,0.33,3.1,546,6.96,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,0,0.282,22.14,9.65,110.8,462,8.74,85.2,0.0852,,20.79,0.02079,,1.89,,74,,1.05,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,1,1.055,22.08,9.56,109.6,463,8.72,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,2,2.072,22.01,9.2,105.4,463,8.66,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,3,3.013,21.82,8.6,98.2,465,8.56,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,4,4.083,21.58,8.72,99,466,8.54,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,5,5.039,21.39,8.35,94.5,468,8.48,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,6,6.056,18.47,0.99,10.6,500,7.53,105.1,0.1051,,34.92,0.03492,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,7,7.057,17.21,0.7,7.3,512,7.43,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,8,8.056,15.73,0.49,5,530,7.28,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,9,9.081,14.2,0.44,4.3,548,7.15,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,10,10.076,13.49,0.39,3.7,556,7.07,577.7,0.5777,,489.16,0.48916,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/12/2012,10:00,10.66799927,10.668,13.18,0.36,3.4,559,6.82,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,0,0.27,23.55,11.66,137.5,420,8.86,113.2,0.1132,,25.25,0.02525,,2.22,,81.3,,0.87,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,1,1.053,23.49,12.08,142.3,421,8.83,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,2,2.06,23.44,11.98,141,422,8.78,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,3,3.043,23.24,10.58,124,425,8.61,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,4,4.092,22.72,8.53,99,432,8.31,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,5,5.039,21.63,1.64,18.7,444,7.37,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,6,6.054,20.42,0.93,10.3,466,7.4,157.2,0.1572,,147.95,0.14795,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,7,7.074,18.49,0.58,6.2,501,7.31,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,8,8.039,16.88,0.45,4.7,528,7.16,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,9,9.057,15.54,0.44,4.5,546,7.02,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,10,10.065,14.76,0.41,4.1,553,6.88,827,0.827,,743.45,0.74345,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,6/26/2012,10:00,10.97699928,10.977,14.2,0.39,3.8,564,6.59,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,0,0.194,29.95,9.58,126.7,400,8.96,68.9,0.0689,,7.44,0.00744,,1.98,,49.5,,0.75,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,1,1.059,28.03,10.8,138.2,400,8.91,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,2,2.047,27.7,6.97,88.7,406,8.59,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,3,3.059,25.9,0.83,10.2,433,7.56,50.9,0.0509,,8.06,0.00806,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,4,4.073,22.7,0.51,5.9,452,7.37,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,5,5.036,21.18,0.47,5.3,469,7.28,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,6,6.059,19.16,0.46,5,503,7.12,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,7,7.085,17.69,0.45,4.8,529,6.95,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,8,8.038,16.67,0.44,4.5,546,6.87,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,9,9.047,15.82,0.43,4.4,560,6.81,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,10,10.052,15.02,0.44,4.4,579,6.65,941.4,0.9414,,800.05,0.80005,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/10/2012,10:00,10.6609993,10.661,14.9,0.43,4.2,583,6.56,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,0,0.348,27.25,5.97,75.3,397,8.48,36.4,0.0364,,20.58,0.02058,,1.52,,34.6,,1.29,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,1,1.056,27.25,5.93,74.8,397,8.48,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,2,2.036,27.22,5.55,70,398,8.42,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,3,3.077,27.06,4.97,62.5,401,8.34,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,4,4.017,25.29,0.52,6.4,427,7.81,59.7,0.0597,,43.05,0.04305,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,5,5.063,22.66,0.55,6.4,456,7.65,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,6,6.017,19.66,0.45,4.9,488,7.44,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,7,7.005,17.84,0.22,2.3,517,7.26,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,8,8.037,16.43,0.18,1.8,542,7.13,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,9,9.063,16.06,0.24,2.4,550,7.03,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,10,10.008,15.63,0.25,2.5,559,6.91,1190.8,1.1908,,1135.42,1.13542,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,7/24/2012,10:00,10.42699909,10.427,15.57,0.35,3.6,569,6.64,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,0,0.328,27.12,13.26,167,396,8.77,90,0.09,,23.59,0.02359,,1.69,,84.2,,0.6,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,1,1.045,26.52,13.12,163.4,395,8.73,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,2,2,25.95,9.82,118,400,8.72,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,3,3,25.55,6.48,78.8,404,8.22,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,4,4,24.9,4.23,52,408,7.93,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,5,5,23.65,0.54,5.9,447,7.52,50.9,0.0509,,23.26,0.02326,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,6,6,20.23,0.11,1.3,498,7,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,7,7,17.88,0,0.3,528,6.87,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,8,8,16.65,-0.02,-0.2,547,6.81,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,9,9,16.15,0.07,0.7,556,6.78,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,10,10,15.77,0.08,0.9,566,6.73,1214.3,1.2143,,477.93,0.47793,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/7/2012,10:00,10.365,10.365,15.58,0.14,1.4,577,6.56,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,0,0.263,23.3,15.41,180.9,402,9.05,107,0.107,,19.24,0.01924,,2.11,,71.4,,0.8,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,1,1.016,22.81,15.34,178.3,402,9,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,2,2.025,22.07,10.72,122.9,416,8.73,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,3,3.055,21.65,3.47,39.5,426,8.15,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,4,4.033,21.47,2.05,23.2,430,7.95,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,5,5.036,21.39,1.06,12.1,432,7.82,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,6,6.037,20.66,0.56,6.2,469,7.72,84.6,0.0846,,61.94,0.06194,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,7,7.038,18.4,0.24,2.6,542,7.31,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,8,8.023,16.42,0.24,2.5,565,7.21,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,9,9.051,15.59,0.17,1.7,585,7.07,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,10,10.032,15.2,0.17,1.7,598,7.03,1404.9,1.4049,,1261.8,1.2618,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,8/21/2012,10:00,10.79199982,10.792,14.96,0.15,1.5,611,6.86,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,0,0.333,25.18,14.13,171.7,394,9.08,136.1,0.1361,,31.14,0.03114,,2.11,,119.9,,0.65,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,1,1.045,24.61,12.15,146.2,398,8.93,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,2,2.06,24.42,9.79,117.3,401,8.84,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,3,3.023,23.9,4.37,51.9,412,8.41,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,4,4.068,23.31,2.57,30.2,417,8.13,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,5,5.081,22.44,0.96,11.1,431,7.79,81.8,0.0818,,45.72,0.04572,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,6,6.059,21.02,0.41,4.6,470,7.46,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,7,7.037,19.47,0.33,3.6,521,7.19,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,8,8.08,17.54,0.22,2.3,575,6.94,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,9,9.032,16.65,0.19,2,593,6.8,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,10,10.052,16.16,0.19,1.9,605,6.74,1588.3,1.5883,,1468.84,1.46884,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/5/2012,10:00,10.3569994,10.357,15.91,0.24,2.5,624,6.63,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/18/2012,10:00,0,0.351,18.7,3.42,36.7,431,7.44,203.6,0.2036,,151.04,0.15104,,2.16,,33.9,,0.72,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/18/2012,10:00,1,1.031,18.68,3.34,35.8,431,7.45,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/18/2012,10:00,2,2.036,18.62,3.35,35.9,430,7.47,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/18/2012,10:00,3,3.06,18.5,3.96,42.3,429,7.49,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/18/2012,10:00,4,4.058,18.42,4.28,45.6,428,7.51,194.9,0.1949,,147.28,0.14728,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/18/2012,10:00,5,5.048,18.36,4.65,49.5,428,7.53,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/18/2012,10:00,6,6.073,18.15,4.86,51.6,428,7.54,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/18/2012,10:00,7,7.04,18.06,4.63,49,428,7.54,203.9,0.2039,,146.46,0.14646,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,9/18/2012,10:00,7.923999786,7.924,18.07,0.58,6.1,460,7.11,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,10/23/2012,10:00,0,0.285,11.3,2.68,24.5,418,8.81,104,0.104,,31.97,0.03197,,1.79,,83.8,,1.1,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,10/23/2012,10:00,1,1.044,11.3,3.28,30,418,8.84,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.
