,,,,,,,,,,,"TP, µg/l",,,"SRP, µg/l",,,"TN, mg/l",,"CLA, µg/l",,"Secchi, m","Chloride, mg/l","TSS, mg/l",,"VSS, mg/l",,

Site,Site_ID,Date,Time,Depth,Sonde Depth,"Temp, oC","DO, mg/l","DO, Sat %","SpCond, µS/cm",pH,TP Value,"TP, mg/l",TP RL,SRP Value ug/l,"SRP, mg/l",SRP RL,TN Value mg/l,TN RL,CLA Value ug/l,CLA RL,"Secchi Value, m","Chloride value, mg/l","TSS Value, mg/l",TSS RL,"VSS Value, mg/l",VSS RL,Comments

Fish-Prior & Spring Lake WD,FL_3R,7/24/2012,10:00,4,4.042,23.16,0.8,9.4,412,7.76,54.8,0.0548,,20.13,0.02013,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/24/2012,10:00,5,5.045,19.71,0.71,7.8,432,7.65,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/24/2012,10:00,6,6.088,15.77,0.64,6.5,467,7.49,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/24/2012,10:00,7,7.016,13.65,0.36,3.5,498,7.17,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/24/2012,10:00,8,8.015,12.99,0.35,3.3,508,7.01,707.4,0.7074,,329.09,0.32909,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/24/2012,10:00,8.964999199,8.965,12.53,0.41,3.9,529,6.74,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/7/2012,10:00,0,0.207,26.81,9.77,122.3,356,8.94,40.5,0.0405,,8.7,0.0087,,0.92,,24.2,,1,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/7/2012,10:00,1,1.042,26.62,9.86,123,355,8.87,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/7/2012,10:00,2,2.046,26.19,9.76,120.8,356,8.82,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/7/2012,10:00,3,3.063,25.73,7.01,86,358,8.62,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/7/2012,10:00,4,4.024,24.27,0.85,10.1,381,7.68,32,0.032,,15.42,0.01542,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/7/2012,10:00,5,5.034,20.08,0.56,6.2,442,7.46,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/7/2012,10:00,6,6.049,15.95,0.36,3.6,476,7.25,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/7/2012,10:00,7,7.04,14.07,0.19,1.8,501,7.01,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/7/2012,10:00,8,8.019,13.15,0.13,1.2,520,6.85,744.9,0.7449,,131.57,0.13157,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/7/2012,10:00,8.930999756,8.931,12.55,0.15,1.4,565,6.52,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/21/2012,10:00,0,0.299,22.87,9.8,114.1,377,8.74,15.5,0.0155,,9.51,0.00951,,1.24,,18.3,,1.25,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/21/2012,10:00,1,1.058,22.7,10.15,117.8,376,8.84,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/21/2012,10:00,2,2.035,22.28,10.09,116.2,377,8.8,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/21/2012,10:00,3,3.059,22.07,7.75,88.9,379,8.53,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/21/2012,10:00,4,4.033,21.8,6.12,69.8,384,8.41,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/21/2012,10:00,5,5.049,20.36,1.65,18.3,416,7.9,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/21/2012,10:00,6,6.032,15.94,0.96,9.7,493,7.69,34.2,0.0342,,5.23,0.00523,6,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/21/2012,10:00,7,7.051,13.49,0.58,5.6,527,7.44,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/21/2012,10:00,8,8.06,12.41,0.38,3.5,543,7.28,654.6,0.6546,,320.23,0.32023,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,8/21/2012,10:00,8.854999542,8.855,12.19,0.26,2.4,573,7.13,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

